,ID,SUMMARY
92,LUCENE-1016," TermVectorAccessor, transparent vector space access  "
93,LUCENE-1314, IndexReader.clone 
94,LUCENE-967," Add ""tokenize documents only"" task to contrib/benchmark "
95,LUCENE-3800, Readers wrapping other readers don't prevent usage if any of their subreaders was closed 
96,LUCENE-223, [PATCH] remove unused variables 
97,LUCENE-1550, Add N-Gram String Matching for Spell Checking 
98,LUCENE-387, Contrib: Main memory based SynonymMap and SynonymTokenFilter 
99,LUCENE-354, FIXME in src/test/org/apache/lucene/IndexTest.java 
100,LUCENE-2059, benchmark pkg: allow TrecContentSource not to change the docname 
101,LUCENE-348, fileformats.xml doesn't document compound file streams 
102,LUCENE-1405, Support for new Resources model in ant 1.7 in Lucene ant task. 
103,LUCENE-3345, docvalues FNFE 
104,LUCENE-866, Multi-level skipping on posting lists 
105,LUCENE-1742, Wrap SegmentInfos in public class  
106,LUCENE-2989, TestCollectionUtil fails on IBM JRE 
107,LUCENE-873, nightly builds depend on clover 
108,LUCENE-2067, Czech Stemmer 
109,LUCENE-3556, Make DirectoryTaxonomyWriter's indexWriter member private 
110,LUCENE-2561, Fix exception handling and thread safety in realtime branch 
111,LUCENE-1913, FastVectorHighlighter: AIOOBE occurs if one PhraseQuery is contained by another PhraseQuery 
112,LUCENE-2624, add new snowball languages 
113,LUCENE-272, [PATCH] Remove equals() from internal Comparator of ConjunctionScorer 
114,LUCENE-488, adding docs with large (binary) fields of 5mb causes OOM regardless of heap size 
115,LUCENE-1558, Make IndexReader/Searcher ctors readOnly=true by default 
116,LUCENE-2742, Enable native per-field codec support  
117,LUCENE-1427, QueryWrapperFilter should not do scoring 
118,LUCENE-2124," move JDK collation to core, ICU collation to ICU contrib "
119,LUCENE-3249, Move Solr's FunctionQuery impls to Queries Module 
120,LUCENE-1048, Lock.obtain(timeout) behaves incorrectly for large timeouts 
121,LUCENE-3051, don't call SegmentInfo.sizeInBytes for the merging segments 
122,LUCENE-1442, NOT_ANALYZED fields can double-count offsets 
123,LUCENE-1918, Adding empty ParallelReader indexes to an IndexWriter may cause ArrayIndexOutOfBoundsException or NoSuchElementException 
124,LUCENE-3709, norms reading fails with FileNotFound in exceptional case 
125,LUCENE-2700, Expose DocValues via Fields 
126,LUCENE-2797, upgrade icu to 4.6 
127,LUCENE-1728, Move SmartChineseAnalyzer & resources to own contrib project 
128,LUCENE-3068, The repeats mechanism in SloppyPhraseScorer is broken when doc has tokens at same position 
129,LUCENE-3827, Make term offsets work in MemoryIndex 
130,LUCENE-3692, DocumentsWriter blocks flushes when applyDeletes takes forever - memory not released 
131,LUCENE-2477, remove MoreLikeThis's default analyzer 
132,LUCENE-1090, remove relative paths assumptions from benchmark code 
133,LUCENE-864, contrib/benchmark files need eol-style set 
134,LUCENE-728, Remove or deprecate contrib/similarity 
135,LUCENE-3058, FST should allow more than one output for the same input 
136,LUCENE-1251," on disk full during close, FSIndexOutput fails to close descriptor "
137,LUCENE-1339, Add IndexReader.acquire() and release() methods using IndexReader's ref counting 
138,LUCENE-3024," If index has more than Integer.MAX_VALUE terms, seeking can it AIOOBE due to long/int overflow "
139,LUCENE-1383," Work around ThreadLocal's ""leak"" "
140,LUCENE-3528, TestNRTManager hang 
141,LUCENE-867, Incomplete lucene-core-1.9.1 in Maven2 repository 
142,LUCENE-1365, deprecate IndexWriter.addIndexes(Directory[]) 
143,LUCENE-2689, remove NativeFSLockFactory's attempt to acquire a test lock 
144,LUCENE-2298, Polish Analyzer 
145,LUCENE-653, GData-server storage fix activation depth 
146,LUCENE-3757, Change AtomicReaderContext.leaves() to return itsself as only leave to simplify code and remove an otherwise unneeded ReaderUtil method 
147,LUCENE-834, Payload Queries 
148,LUCENE-2824, optimizations for bufferedindexinput 
149,LUCENE-3552, TaxonomyReader/Writer and their Lucene* implementation 
150,LUCENE-2664, Add SimpleText codec 
151,LUCENE-1764, SampleComparable doesn't work well in contrib/remote tests 
152,LUCENE-2591, TestNLS fails with ja locale 
153,LUCENE-3416, Allow to pass an instance of RateLimiter to FSDirectory allowing to rate limit merge IO across several directories / instances 
154,LUCENE-969, Optimize the core tokenizers/analyzers & deprecate Token.termText 
155,LUCENE-3241, Remove Lucene core's FunctionQuery impls 
156,LUCENE-2069, fix LowerCaseFilter for unicode 4.0 
157,LUCENE-1976, isCurrent() and getVersion() on an NRT reader are broken 
158,LUCENE-3727, fix assertions/checks that use File.length() to use getFilePointer() 
159,LUCENE-1993, MoreLikeThis - allow to exclude terms that appear in too many documents (patch included) 
160,LUCENE-3053, improve test coverage for Multi* 
161,LUCENE-2380," Add FieldCache.getTermBytes, to load term data as byte[] "
162,LUCENE-1469, isValid should be invoked after analyze rather than before it so it can validate the output of analyze 
163,LUCENE-3671, Add a TypeTokenFilter 
164,LUCENE-444, StandardTokenizer loses Korean characters 
165,LUCENE-450, MatchAllDocsQuery doesn't honor boost or queryNorm 
166,LUCENE-1786, improve performance of contrib/TestCompoundWordTokenFilter 
167,LUCENE-1444, Broken javadocs->site docs links 
168,LUCENE-3589, BytesRef copy short missed the length setting 
169,LUCENE-2512, DeleteByPercentTask hits NPE 
170,LUCENE-3239," drop java 5 ""support"" "
171,LUCENE-3254, BitVector.isSparse is sometimes wrong 
172,LUCENE-1718, IndexReader.setTermInfosIndexDivisor doesn't carry over to reopened readers 
173,LUCENE-900, Enable Java asserts in the Junit tests 
174,LUCENE-1602, Rewrite TrieRange to use MultiTermQuery 
175,LUCENE-1484, Remove SegmentReader.document synchronization 
176,LUCENE-2277, QueryNodeImpl throws ConcurrentModificationException on add(List<QueryNode>) 
177,LUCENE-3045, QueryNodeImpl.containsTag(String) should lowercase the tag key 
178,LUCENE-1744, BooleanScorer2 fails to update this.doc when its the top scorer 
179,LUCENE-1539, Improve Benchmark 
180,LUCENE-536, JEDirectory delete issue 
181,LUCENE-1124, short circuit FuzzyQuery.rewrite when input token length is small compared to minSimilarity 
182,LUCENE-2109, Make DocsEnum subclass of DocIdSetIterator 
183,LUCENE-2353, Config incorrectly handles Windows absolute pathnames 
184,LUCENE-430, Reducing buffer sizes for TermDocs. 
185,LUCENE-1548, LevenshteinDistance code normalization is incorrect 
186,LUCENE-1125, Excessive Arrays.fill(0) in DocumentsWriter drastically slows down small docs (3.9X slowdown!) 
187,LUCENE-608," deprecate Document.fields(), add getFields() "
188,LUCENE-1810, Add a LATENT FieldSelectorResult 
189,LUCENE-1451, Can't create NIOFSDirectory w/o setting a system property 
190,LUCENE-3218, Make CFS appendable   
191,LUCENE-2699, Update StandardTokenizer and UAX29Tokenizer to Unicode 6.0.0 
192,LUCENE-2782, Possible rare thread hazard in IW.commit 
193,LUCENE-1472, DateTools.stringToDate() can cause lock contention under load 
194,LUCENE-2579, Small imprecision in Search package Javadocs 
195,LUCENE-239, [PATCH] cleaner API for Field.Text 
196,LUCENE-3374, move nrtcachingdir to core in 4.0 
197,LUCENE-2588, terms index should not store useless suffixes 
198,LUCENE-1145, DisjunctionSumScorer small tweak 
199,LUCENE-1665, Remove SortField.AUTO 
200,LUCENE-2737, Codec is not consistently passed in internal API 
201,LUCENE-2936, score and explain don't match 
202,LUCENE-1354, Provide Programmatic Access to CheckIndex 
203,LUCENE-2384, Reset zzBuffer in StandardTokenizerImpl* when lexer is reset. 
204,LUCENE-237, [PATCH] fix compile errors in sandbox 
205,LUCENE-400, NGramFilter -- construct n-grams from a TokenStream 
206,LUCENE-2170, Thread starvation problems in some tests 
207,LUCENE-2332, Merge CharTermAttribute and deprecations to stable 
208,LUCENE-788, contrib/benchmark assumes Locale.US for parsing dates in Reuters collection 
209,LUCENE-1497, Minor changes to SimpleHTMLFormatter 
210,LUCENE-3272, Consolidate Lucene's QueryParsers into a module 
211,LUCENE-1341, BoostingNearQuery class (prototype) 
