,ID,SUMMARY
105,JCR-2238, Binary throws NullPointerException  
106,JCR-1784, OCM:The UUID of the collection elements changes on update. 
107,JCR-2297, Registering multiple node types with the same name in a single file must fail 
108,JCR-683, Bad transitive dependencies in commons-httpclient 
109,JCR-550, OutOfMemoryError when re-indexing the repository 
110,JCR-1280, Path.equals does not work for other Path implementations 
111,JCR-237, Item.isNew() does not work correctly within a transaction 
112,JCR-218, [JCR-RMI] Have ClientItem.isSame throw RepositoryException 
113,JCR-565, Refactor ObservationManagerFactory 
114,JCR-1057, Log at debug level rather that info in CacheManager 
115,JCR-2984, JCR2SPI NamespaceRegistryImpl.unregisterNamespace passes prefix to storage when uri is expected 
116,JCR-1862, jcr2spi: transient removal of mandatory item throws ConstraintViolationException 
117,JCR-2709, Missing XPath escape in query.jsp 
118,JCR-1967, Impossible comparison in NodeTypeImpl 
119,JCR-856, NodeAddMixinTest assumptions on addMixin behaviour 
120,JCR-1634, In XA transaction session.addLockToken() does not have effect 
121,JCR-2625, spi2davex: reduce memory footprint of Node/PropertyInfoImpl 
122,JCR-376, JCR-RMI depends on commons-logging 
123,JCR-2202," UserManagement: IndexNodeResolver.findNodes(..... , nonExact) fails to find values containing backslash "
124,JCR-3247, SQL2 ISDESCENDANTNODE BooleanQuery#TooManyClauses returns 
125,JCR-1582, Parameters 'idleTime' and 'queryClass' cause QueryHandler to fail 
126,JCR-139, Query for name literal without namespace fails 
127,JCR-3158, Deadlock in DBCP when accessing node 
128,JCR-505, TCK: AbstractJCRTest fails if setUp/tearDown cannot remove children of test node 
129,JCR-1650, XPathQueryBuilder may not handle multiple jcr:deref correctly 
130,JCR-487, the jcr:frozenUuid property is of type REFERENCE instead of STRING 
131,JCR-2385, webdav: nullpointer exception while getting the tikka detector  
132,JCR-2234, changed behavior of javax.jcr.Value get* methods 
133,JCR-1850, Journal: Use buffered input / output streams 
134,JCR-1138, Data store garbage collection 
135,JCR-882, Add more unit on collection fields 
136,JCR-648, NullpointerException in SessionItemStateManager 
137,JCR-471, Create resource sensitive cache for item states 
138,JCR-1804, Added the functionality to Map and Manage Type Enum 
139,JCR-1678, NullPointerException in constructor of JcrDavException 
140,JCR-1995, Move *.log files to target/ 
141,JCR-1825, DBDataStore doesn't support concurrent reads 
142,JCR-901, Support synonym searches 
143,JCR-1750, Creating QValue from stream: stream not closed 
144,JCR-2177, Node.getWeakReferences throws UnsupportedOperationException if not referenceable 
145,JCR-71, WorkspaceConfig.init() throws NullPointerException if Search configuration is missing 
146,JCR-2929, Various places do map lookups in loop instead of using entrySet iterator 
147,JCR-797, Typo in the deploy/jboss/4.x/jcr-ds.xml file 
148,JCR-1119, SimpleFieldsHelper emits a lot warnings 
149,JCR-3275, Audit log 
150,JCR-1767, XML serialization in JDK 1.4 broken (mostly for WebDAV) 
151,JCR-2061, JSR 283: References and Dereferencing of Property Values 
152,JCR-1538, [patch] add toString for NodeImpl and PropertyImpl 
153,JCR-2886, Add SessionImpl#isAdminOrSystem 
154,JCR-2631, Move backwards compatibility tests to trunk 
155,JCR-158, TextFilterService uses Sun specific classes 
156,JCR-2816, Repository is not unlocked if version manager init failed and assertions are enabled 
157,JCR-846, support for DB2 in BundleDbPersistenceManager 
158,JCR-1504, MS Excel Mime Type missing in MsExcelTextExtractor  
159,JCR-201, [contrib-bdb] initialization fails if directory doesn't exist 
